update,explained_variance,approx_kl,policy_loss,value_loss,entropy,adv_mean,adv_std,value_mean,value_std
32768,-0.22783685,-0.0001134803460445255,-0.004615080310031772,0.1485007479786873,1.2237423658370972,0.033467755,0.41763467,0.38397497,0.24611118
33280,-0.05232942,-0.001342938921879977,-0.006201261654496193,0.1322165308520198,1.2777790576219559,0.022677459,0.36538422,0.32303944,0.15528719
33792,-0.074308395,0.008656088321004063,-0.006220782874152064,0.14233628008514643,1.2742241322994232,-0.0442739,0.38305998,0.46651155,0.112574294
34304,0.083643556,0.002410285727819428,-0.004190256877336651,0.10058991517871618,1.2918877601623535,-0.043769527,0.3158884,0.49634638,0.06505984
34816,-0.023953438,0.0044318733853287995,-0.004841348621994257,0.15057753399014473,1.1918101608753204,-0.045144565,0.3960553,0.42340636,0.12778732
35328,0.13951427,0.0031325655290856957,-0.0062362197786569595,0.16275165043771267,1.2141573578119278,0.05324009,0.40710667,0.3721149,0.17315216
35840,-0.047417283,-0.002190623781643808,-0.005902397213503718,0.20561479777097702,1.2203679233789444,-0.015105091,0.46550745,0.47453725,0.21921451
36352,-0.011091948,0.0030338493816088885,-0.006023928406648338,0.15800299402326345,1.2541609555482864,-0.06410046,0.39990127,0.50968444,0.11259257
36864,-0.0015618801,0.006897178711369634,-0.004112722119316459,0.15699394419789314,1.1317338943481445,0.009414345,0.40049258,0.38682115,0.12745148
37376,0.060008526,0.004116109281312674,-0.004084838787093759,0.11459718737751245,1.2079480737447739,-0.036653694,0.3390818,0.43314236,0.11897492
37888,0.055921018,0.004099135316209868,-0.003496886696666479,0.1351774614304304,1.1744098514318466,-0.031038512,0.3691636,0.503073,0.12710425
38400,0.027665496,-0.0006786596495658159,-0.005054147564806044,0.12047301325947046,1.185205116868019,-0.13230146,0.34150106,0.5352333,0.07979857
38912,0.026247382,0.003915848705219105,-0.004931090399622917,0.19825673662126064,1.1396340131759644,0.10364604,0.448825,0.26405585,0.20921804
39424,-0.03676808,0.0008326854149345309,-0.0038178680697456002,0.2156437486410141,1.058927282691002,0.11726372,0.46257117,0.31970662,0.12240518
39936,-0.004541993,0.002450715168379247,-0.0035689992364495993,0.169932521879673,1.1437415182590485,-0.0004071258,0.41539633,0.5015389,0.06684967
40448,-0.0061656237,0.0006612610013689846,-0.0049205024261027575,0.16578850708901882,1.064797580242157,-0.026247105,0.41005144,0.5157088,0.0889879
40960,-0.038350582,0.0029865014948882163,-0.0033313928870484233,0.19363595359027386,1.0514150857925415,0.01811289,0.45153043,0.46583962,0.10817411
41472,-0.015758872,-0.0014641207817476243,-0.00362015631981194,0.18988102674484253,1.0516262352466583,-0.10627751,0.43597507,0.6179662,0.11099903
41984,-0.06677699,0.003256288619013503,-0.00394399231299758,0.15367361530661583,1.1002464890480042,0.07366127,0.39037558,0.3454661,0.12405115
42496,0.022061527,0.005905709200305864,-0.0033654565922915936,0.20832528918981552,1.015047274529934,0.17210475,0.4409884,0.3210513,0.093316294
43008,0.03539723,0.0021691420988645405,-0.0030297611374408007,0.14858540892601013,0.9190892204642296,-0.1235103,0.37792453,0.57145834,0.14184006
43520,-0.05288756,0.001010364096146077,-0.002452951273880899,0.18248944729566574,0.9589145854115486,0.016986236,0.43496615,0.47878832,0.15322982
44032,0.0037614703,0.0003668820427265018,-0.00807732599787414,0.1844636145979166,0.9367435127496719,-0.00049442425,0.4325205,0.4454641,0.07197097
44544,-0.043632627,0.006786860816646367,-0.005057149566709995,0.2216198742389679,1.0404569506645203,0.04050688,0.4730179,0.4598875,0.15471813
45056,-0.07257557,0.0008708286623004824,-0.0017616311088204384,0.1723332367837429,1.0069112926721573,0.05877397,0.4219124,0.36962658,0.11890576
45568,-0.05426562,0.0037589330750051886,-0.005692122504115105,0.16658144630491734,1.003584124147892,-0.018147014,0.41128,0.45028287,0.06593533
46080,0.0077507496,0.00520871629123576,-0.006136130075901747,0.16581130772829056,0.9866807088255882,-0.027137578,0.4073208,0.44264477,0.050967522
46592,0.01726389,0.00501188647467643,-0.006808339385315776,0.1460100132972002,0.9862217828631401,0.019049587,0.3836178,0.42369437,0.09920194
47104,-0.029526114,0.0010054713930003345,-0.0021659028716385365,0.21823089942336082,0.9769150614738464,0.07478009,0.4678012,0.39121324,0.124850325
47616,-0.02609706,-0.00020322107593528926,-0.0026803272776305676,0.24656939692795277,0.8723918870091438,0.059427284,0.49940386,0.40840274,0.10509312
48128,0.02183491,0.00036914111115038395,-0.0059057940961793065,0.22887946851551533,0.9694694951176643,0.04107859,0.47780403,0.48509097,0.073028766
