episode,episode_return,episode_length,env_steps,items_collected_total,fraction_items_collected,unique_cells_visited,coverage_fraction,mean_pairwise_dist,success,agent0_items,agent1_items,agent2_items,agent3_items,agent0_dist,agent1_dist,agent2_dist,agent3_dist,freq_up,freq_down,freq_left,freq_right,freq_stay
59,0.039999999999999036,99,44824,4,1.0,53,0.53,7.0,1,0,0,0,0,40.0,68.0,51.0,44.0,25,37,59,51,224
60,-6.000000000000005,200,45624,2,0.5,64,0.64,5.0,0,0,0,0,0,111.0,73.0,104.0,162.0,76,67,139,141,377
61,2.3999999999999986,40,45784,4,1.0,40,0.4,8.0,1,0,0,0,0,14.0,15.0,32.0,27.0,11,10,22,25,92
62,1.1999999999999984,70,46064,4,1.0,62,0.62,8.0,1,0,0,0,0,40.0,43.0,55.0,26.0,26,37,36,40,141
63,1.3199999999999998,67,46332,4,1.0,50,0.5,8.833333333333334,1,0,0,0,0,20.0,53.0,20.0,66.0,32,41,29,35,131
64,1.0399999999999996,74,46628,4,1.0,58,0.58,4.833333333333333,1,0,0,0,0,62.0,19.0,62.0,65.0,35,32,65,54,110
65,2.0799999999999983,48,46820,4,1.0,49,0.49,9.0,1,0,0,0,0,48.0,17.0,35.0,37.0,22,13,41,34,82
66,-5.000000000000004,200,47620,3,0.75,76,0.76,3.1666666666666665,0,0,0,0,0,138.0,117.0,83.0,125.0,82,91,150,135,342
67,1.7999999999999987,55,47840,4,1.0,49,0.49,4.5,1,0,0,0,0,31.0,36.0,33.0,32.0,11,25,28,50,106
68,-3.760000000000005,194,48616,4,1.0,82,0.82,4.0,1,0,0,0,0,117.0,136.0,137.0,123.0,93,92,156,147,288
69,2.4799999999999986,38,48768,4,1.0,46,0.46,6.833333333333333,1,0,0,0,0,31.0,20.0,24.0,20.0,9,21,19,22,81
70,2.5999999999999988,35,48908,4,1.0,39,0.39,6.333333333333333,1,0,0,0,0,16.0,7.0,25.0,21.0,14,9,16,17,84
71,-5.000000000000005,200,49708,3,0.75,73,0.73,4.833333333333333,0,0,0,0,0,160.0,147.0,151.0,143.0,110,118,188,168,216
72,-1.1200000000000032,128,50220,4,1.0,55,0.55,4.166666666666667,1,0,0,0,0,103.0,103.0,104.0,110.0,82,79,133,109,109
73,3.1999999999999993,20,50300,4,1.0,33,0.33,8.833333333333334,1,0,0,0,0,10.0,22.0,25.0,25.0,12,11,19,12,26
74,3.2799999999999994,18,50372,4,1.0,31,0.31,3.5,1,0,0,0,0,25.0,13.0,19.0,21.0,8,8,16,11,29
75,3.4799999999999995,13,50424,4,1.0,24,0.24,7.666666666666667,1,0,0,0,0,12.0,14.0,11.0,10.0,4,5,11,10,22
76,2.999999999999999,25,50524,4,1.0,39,0.39,7.5,1,0,0,0,0,26.0,30.0,8.0,19.0,6,19,15,9,51
77,-5.000000000000004,200,51324,3,0.75,81,0.81,8.166666666666666,0,0,0,0,0,102.0,134.0,111.0,125.0,76,82,151,146,345
78,0.6399999999999979,84,51660,4,1.0,49,0.49,4.833333333333333,1,0,0,0,0,43.0,36.0,51.0,24.0,30,19,37,44,206
79,2.8,30,51780,4,1.0,39,0.39,5.166666666666667,1,0,0,0,0,18.0,18.0,33.0,25.0,8,21,23,28,40
80,3.3999999999999995,15,51840,4,1.0,25,0.25,8.666666666666666,1,0,0,0,0,17.0,12.0,14.0,18.0,8,15,13,9,15
81,2.5199999999999996,37,51988,4,1.0,51,0.51,6.333333333333333,1,0,0,0,0,17.0,32.0,19.0,32.0,11,28,25,21,63
82,2.5199999999999987,37,52136,4,1.0,46,0.46,5.833333333333333,1,0,0,0,0,24.0,33.0,15.0,29.0,11,20,29,20,68
83,3.079999999999999,23,52228,4,1.0,27,0.27,6.833333333333333,1,0,0,0,0,17.0,21.0,16.0,8.0,3,15,13,11,50
84,1.2399999999999989,69,52504,4,1.0,69,0.69,4.5,1,0,0,0,0,51.0,60.0,56.0,43.0,39,46,73,48,70
85,3.3599999999999994,16,52568,4,1.0,26,0.26,6.333333333333333,1,0,0,0,0,22.0,26.0,10.0,21.0,9,19,11,4,21
86,2.879999999999999,28,52680,4,1.0,36,0.36,8.333333333333334,1,0,0,0,0,28.0,23.0,23.0,24.0,12,26,28,14,32
