episode,episode_return,episode_length,env_steps,items_collected_total,fraction_items_collected,unique_cells_visited,coverage_fraction,mean_pairwise_dist,success,agent0_items,agent1_items,agent2_items,agent3_items,agent0_dist,agent1_dist,agent2_dist,agent3_dist,freq_up,freq_down,freq_left,freq_right,freq_stay
55,1.1199999999999992,72,28116,4,1.0,44,0.44,2.8333333333333335,1,0,0,0,0,56.0,49.0,51.0,58.0,55,42,38,53,100
56,2.7999999999999994,30,28236,4,1.0,37,0.37,2.3333333333333335,1,0,0,0,0,19.0,20.0,23.0,19.0,16,13,42,7,42
57,1.2799999999999994,68,28508,4,1.0,56,0.56,1.0,1,0,0,0,0,46.0,45.0,40.0,45.0,51,43,28,42,108
58,2.9199999999999995,27,28616,4,1.0,37,0.37,3.5,1,0,0,0,0,17.0,18.0,24.0,22.0,17,19,15,13,44
59,2.7199999999999998,32,28744,4,1.0,39,0.39,3.1666666666666665,1,0,0,0,0,21.0,19.0,25.0,23.0,9,18,28,6,67
60,2.3999999999999986,40,28904,4,1.0,49,0.49,3.0,1,0,0,0,0,28.0,36.0,30.0,35.0,31,15,24,42,48
61,2.2799999999999994,43,29076,4,1.0,44,0.44,3.0,1,0,0,0,0,29.0,17.0,36.0,26.0,24,34,13,20,81
62,2.6399999999999992,34,29212,4,1.0,48,0.48,0.5,1,0,0,0,0,24.0,28.0,29.0,26.0,10,36,13,20,57
63,2.3199999999999994,42,29380,4,1.0,39,0.39,1.1666666666666667,1,0,0,0,0,25.0,22.0,28.0,21.0,11,47,6,21,83
64,1.5599999999999987,61,29624,4,1.0,41,0.41,2.5,1,0,0,0,0,44.0,39.0,38.0,39.0,37,30,26,34,117
65,1.9599999999999982,51,29828,4,1.0,37,0.37,1.0,1,0,0,0,0,39.0,42.0,42.0,44.0,42,27,40,37,58
66,2.719999999999999,32,29956,4,1.0,31,0.31,3.0,1,0,0,0,0,18.0,22.0,11.0,13.0,11,15,26,5,71
67,2.6399999999999997,34,30092,4,1.0,26,0.26,2.5,1,0,0,0,0,15.0,16.0,17.0,17.0,10,23,3,15,85
68,1.5199999999999994,62,30340,4,1.0,48,0.48,2.5,1,0,0,0,0,29.0,31.0,42.0,46.0,39,46,20,28,115
69,1.0799999999999992,73,30632,4,1.0,64,0.64,1.1666666666666667,1,0,0,0,0,62.0,57.0,39.0,50.0,36,59,35,48,114
70,1.9599999999999997,51,30836,4,1.0,53,0.53,3.5,1,0,0,0,0,28.0,34.0,37.0,33.0,21,41,31,31,80
71,1.5199999999999996,62,31084,4,1.0,48,0.48,1.3333333333333333,1,0,0,0,0,50.0,49.0,43.0,45.0,41,29,44,55,79
72,2.9599999999999995,26,31188,4,1.0,47,0.47,1.3333333333333333,1,0,0,0,0,27.0,29.0,21.0,23.0,24,4,35,12,29
73,2.7199999999999993,32,31316,4,1.0,44,0.44,1.3333333333333333,1,0,0,0,0,24.0,29.0,24.0,21.0,22,23,9,26,48
74,2.5999999999999996,35,31456,4,1.0,47,0.47,2.6666666666666665,1,0,0,0,0,20.0,23.0,34.0,23.0,18,20,16,25,61
75,2.6399999999999997,34,31592,4,1.0,33,0.33,5.833333333333333,1,0,0,0,0,29.0,26.0,20.0,14.0,20,22,20,14,60
76,2.9999999999999996,25,31692,4,1.0,37,0.37,2.3333333333333335,1,0,0,0,0,19.0,25.0,20.0,23.0,7,24,11,15,43
77,2.4399999999999995,39,31848,4,1.0,50,0.5,3.5,1,0,0,0,0,24.0,31.0,33.0,33.0,26,27,18,36,49
